ragi,6,70
beans,4,50
wheat,5,30
ragi,5,30
beans,9,30
chiken,8,30
wheat,5,40
dal,4,70
rice,1,50
chiken,10,90
beans,2,90
ragi,7,30
chana,4,30
matton,9,30
egg,10,70
rice,1,50
chana,4,50
egg,8,100
wheat,2,60
ragi,7,50
chiken,7,70
rice,9,100
rice,10,30
dal,2,70
matton,5,30
beans,1,40
egg,5,20
wheat,6,70
chana,6,100
ragi,3,40
matton,5,40
fish,2,40
egg,9,90
fish,7,70
chiken,9,20
ragi,6,90
wheat,5,50
dal,6,30
beans,5,20
egg,2,80
dal,10,100
matton,6,80
beans,7,80
chana,1,10
matton,5,80
beans,2,80
egg,8,70
egg,6,10
dal,5,100
ragi,8,90
wheat,3,80
fish,6,80
ragi,3,50
fish,2,90
rice,6,20
chana,2,10
wheat,10,60
dal,10,10
dal,1,90
fish,6,80
rice,5,30
egg,10,100
wheat,2,70
dal,1,90
dal,4,60
fish,8,20
ragi,5,10
dal,7,30
fish,6,20
wheat,6,100
egg,6,70
ragi,3,50
fish,8,50
ragi,9,60
chana,1,70
ragi,4,100
rice,2,70
rice,9,80
beans,9,50
matton,2,60
dal,3,30
chiken,1,10
beans,2,60
fish,4,80
chiken,4,30
beans,9,10
matton,9,60
rice,5,50
wheat,4,30
ragi,4,100
wheat,6,40
rice,1,30
matton,5,30
fish,1,10
dal,6,50
rice,2,20
chiken,6,50
dal,8,80
ragi,5,50
rice,2,90
